base_verb	prefixed_verb	prefix	freq_base	freq_prefixed
biti	dobiti	do	197977	2440
staviti	nastaviti	na	357	1263
nositi	odnositi	od	599	1072
naći	pronaći	pro	816	1026
viknuti	naviknuti	na	897	995
držati	sadržati	sa	319	931
dati	dodati	do	1431	893
voditi	navoditi	na	1418	886
ticati	uticati	u	471	849
činiti	učiniti	u	1856	834
praviti	napraviti	na	255	817
vršiti	završiti	za	770	810
raditi	uraditi	u	4247	696
nositi	iznositi	iz	599	693
javiti	objaviti	ob	165	680
javiti	izjaviti	iz	165	624
javiti	prijaviti	pri	165	618
nositi	donositi	do	599	601
stati	nastati	na	141	570
znati	saznati	sa	1647	569
kazati	ukazati	u	1983	560
uzeti	preuzeti	pre	218	516
vršiti	izvršiti	iz	770	461
tvrditi	utvrditi	u	392	443
početi	započeti	za	1290	430
krasti	ukrasti	u	330	429
padati	pripadati	pri	106	403
učiti	naučiti	na	238	400
staviti	dostaviti	do	357	390
stavljati	nastavljati	na	221	385
izvoditi	proizvoditi	pro	261	378
govoriti	odgovoriti	od	1638	376
tražiti	zatražiti	za	1086	365
gubiti	izgubiti	iz	165	364
viti	razviti	raz	221	362
buditi	uzbuditi	uz	154	360
voditi	dovoditi	do	1418	323
stati	sastati	sa	141	322
stupiti	pristupiti	pri	154	317
gledati	izgledati	iz	392	305
graditi	izgraditi	iz	368	303
maknuti	primaknuti	pri	233	301
mrštiti	namrštiti	na	147	300
kazati	prikazati	pri	1983	294
ići	podići	pod	644	290
likovati	razlikovati	raz	133	286
čitati	pročitati	pro	154	284
nositi	prenositi	pre	599	280
javiti	najaviti	na	165	268
voditi	izvoditi	iz	1418	261
davati	prodavati	pro	791	259
raditi	izraditi	iz	4247	242
držati	zadržati	za	319	237
pisati	napisati	na	458	232
pustiti	napustiti	na	126	227
davati	dodavati	do	791	226
širiti	proširiti	pro	163	220
čuvati	sačuvati	sa	383	220
mucati	promucati	pro	188	218
stati	prestati	pre	141	217
boraviti	zaboraviti	za	346	214
znati	priznati	pri	1647	213
dati	izdati	iz	1431	212
stajati	nastajati	na	397	206
živeti	doživeti	do	1216	203
sticati	podsticati	pod	185	201
bledeti	prebledeti	pre	153	197
maknuti	promaknuti	pro	233	176
biti	odbiti	od	197977	173
imati	uzimati	uz	11939	173
ići	obići	ob	644	170
voditi	provoditi	pro	1418	169
uzimati	zauzimati	za	173	161
dati	predati	pre	1431	160
maknuti	umaknuti	u	233	159
dati	prodati	pro	1431	159
štititi	zaštititi	za	250	159
misliti	zamisliti	za	921	156
viti	izviti	iz	221	156
slediti	uslediti	u	220	155
živeti	preživeti	pre	1216	154
likovati	odlikovati	od	133	154
pomenuti	napomenuti	na	132	152
davati	izdavati	iz	791	150
voditi	uvoditi	u	1418	149
kazati	dokazati	do	1983	147
pasti	prepasti	pre	108	145
igrati	odigrati	od	607	144
pisati	upisati	u	458	143
zvati	sazvati	sa	247	140
nositi	podnositi	pod	599	140
uzimati	preuzimati	pre	173	139
gledati	pregledati	pre	392	138
jahati	uzjahati	uz	568	135
svući	presvući	pre	237	134
izvesti	proizvesti	pro	196	132
stupiti	nastupiti	na	154	129
pustiti	propustiti	pro	126	125
pustiti	zapustiti	za	126	121
drhtati	uzdrhtati	uz	983	119
baviti	nabaviti	na	1469	116
govoriti	dogovoriti	do	1638	114
poznavati	prepoznavati	pre	154	114
gledati	sagledati	sa	392	111
stavljati	dostavljati	do	221	110
viti	priviti	pri	221	109
kupiti	prikupiti	pri	395	108
beležiti	zabeležiti	za	124	107
deliti	dodeliti	do	227	105
držati	pridržati	pri	319	104
