infinitive_latin,frequency
biti,265
živeti,14
još,10
govoriti,9
voleti,9
ići,8
opet,8
mnogo,8
raditi,7
odlaziti,7
voljeti,7
doći,7
već,6
tada,6
živjeti,6
mučiti,6
gde,6
morati,5
rano,5
tako,5
činiti,5
znati,5
hteti,5
imati,4
piti,4
podizati,4
odgovarati,4
potom,4
slušati,4
takođe,4
gledati,4
proći,4
reći,4
naoko,3
donositi,3
valjati,3
uvek,3
uveče,3
ustajati,3
postati,3
vikati,3
bacati,3
srditi,3
gurkati,3
zašto,3
misliti,3
počinjati,3
podsmevati,3
ponekad,3
odrastati,3
dobro,3
ležati,3
umreti,3
umrijeti,3
umirati,3
roditi,3
bolovati,3
tamo,3
odmarati,3
daleko,3
pasti,3
otići,3
međutim,3
sada,3
nazivati,2
izjutra,2
vraćati,2
natrag,2
nositi,2
hodati,2
zimi,2
ostati,2
krenuti,2
odmoriti,2
videti,2
tiho,2
igrati,2
jurcati,2
vređati,2
isto,2
skrivati,2
padati,2
zatim,2
shvatati,2
poznavati,2
uistinu,2
ćutati,2
dirati,2
toliko,2
trebati,2
vidjeti,2
radovati,2
zato,2
koriti,2
odrasti,2
maltretirati,2
ugledati,2
tući,2
zaboravljati,2
dugo,2
dolaziti,2
nemoguće,2
veli,2
slepo,2
dati,2
osećati,2
odavno,2
čekati,2
obično,2
rasrditi,2
progovoriti,2
sad,2
položiti,2
oprostiti,2
zaboraviti,2
obići,2
završiti,2
ostariti,2
lečiti,2
davno,1
oslabiti,1
malo,1
razduvavati,1
držati,1
kovati,1
uvoditi,1
potkivati,1
rasti,1
sedeti,1
stanovati,1
hraniti,1
snaći,1
kupiti,1
mesečno,1
kupovati,1
leti,1
skroz,1
nekoliko,1
provideti,1
oblačiti,1
obuvati,1
krpiti,1
par,1
kretati,1
onda,1
buditi,1
polaziti,1
upravo,1
prestajati,1
stvarno,1
čuditi,1
dozivati,1
pritrčavati,1
dodirivati,1
psovati,1
uzeti,1
pojuriti,1
dotaći,1
uveravati,1
rado,1
naljutiti,1
ćutjeti,1
plašiti,1
jako,1
šiljkati,1
odazvati,1
razveseliti,1
razbežati,1
izdaleka,1
peckati,1
pozivati,1
trčati,1
skriti,1
sasvim,1
zaustaviti,1
naneti,1
isuviše,1
zaobići,1
zasuti,1
razumevati,1
učiniti,1
poželjeti,1
verovati,1
samo,1
umeti,1
letiti,1
susresti,1
dogoditi,1
uvrediti,1
napiti,1
puniti,1
dokon,1
šetkati,1
naročito,1
umisliti,1
zaustavljati,1
pogubiti,1
jednostavno,1
časno,1
onako,1
krišom,1
umišljati,1
kazivati,1
sledovati,1
odćutati,1
uveriti,1
često,1
privremeno,1
odvoditi,1
uopšte,1
smejati,1
trenutno,1
otkinuti,1
katkad,1
sijati,1
brzo,1
saglašavati,1
pozleđivati,1
uzdisati,1
oronuti,1
izgledati,1
olaziti,1
nabaciti,1
udisati,1
rađati,1
ploviti,1
brbljati,1
potpuno,1
klanjati,1
ljubiti,1
truditi,1
disati,1
povrediti,1
gladiti,1
namrtvo,1
zavirivati,1
osirotelo,1
pevati,1
praviti,1
lako,1
mirisati,1
sesti,1
sanjariti,1
nadisati,1
vedro,1
postariti,1
kasno,1
iživljavati,1
mirno,1
zabacivati,1
smeštati,1
zaraditi,1
nakupiti,1
vešati,1
neznano,1
kuda,1
slabiti,1
isticati,1
prolaziti,1
spremati,1
nikuda,1
prepoznati,1
gaziti,1
strašiti,1
možda,1
inače,1
bojati,1
dojaditi,1
put,1
smetati,1
dobiti,1
dočuti,1
kazati,1
kako,1
smeti,1
lično,1
porediti,1
bogalj,1
izjednačivati,1
mudrovati,1
povikati,1
naučiti,1
zamahnuti,1
udariti,1
kući,1
okrenuti,1
nadole,1
nadolje,1
maći,1
pridizati,1
uskoro,1
tuda,1
pozvati,1
shvatiti,1
speći,1
opipati,1
osetiti,1
žaliti,1
linuti,1
uzdahnuti,1
odbaciti,1
moći,1
suditi,1
pripremiti,1
■,1
okupati,1
sahraniti,1
teško,1
ostajati,1
trošiti,1
bespogovorno,1
trpeti,1
setisati,1
duboko,1
ući,1
pitati,1
naći,1
začuditi,1
saslušati,1
ćutke,1
očekivati,1
doneti,1
tužno,1
napuniti,1
odobrovoljiti,1
odjednom,1
dosetiti,1
upisati,1
oćutati,1
siroče,1
smestiti,1
učiti,1
zajedno,1
zaključati,1
povesti,1
priviti,1
odhraniti,1
nikad,1
okusiti,1
jesti,1
doputovati,1
ovamo,1
zauvek,1
početi,1
uzimati,1
tešiti,1
umarati,1
ublažavati,1
udaljivati,1
