base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,
biti,dobiti,do,3465276,27424,biti
biti,ubiti,u,3465276,2940,
biti,odbiti,od,3465276,2097,
biti,izbiti,iz,3465276,818,
biti,razbiti,raz,3465276,679,
reći,odreći,od,214541,684,reći
reći,izreći,iz,214541,527,
imati,uzimati,uz,202919,10367,imati
govoriti,odgovoriti,od,150037,8248,govoriti
govoriti,izgovoriti,iz,150037,1328,
govoriti,progovoriti,pro,150037,895,
govoriti,dogovoriti,do,150037,1234,
gledati,izgledati,iz,138015,9247,gledati
gledati,ugledati,u,138015,2510,
gledati,zagledati,za,138015,1112,
gledati,pregledati,pre,138015,1297,
gledati,sagledati,sa,138015,1032,
gledati,nadgledati,nad,138015,525,
kazati,ukazati,u,114551,4693,kazati
kazati,dokazati,do,114551,1599,
kazati,prikazati,pri,114551,2377,
znati,saznati,sa,101818,6156,znati
znati,priznati,pri,101818,3283,
znati,doznati,do,101818,559,
raditi,uraditi,u,89644,6981,raditi
raditi,zaraditi,za,89644,665,
raditi,izraditi,iz,89644,1789,
misliti,zamisliti,za,84782,3248,misliti
misliti,razmisliti,raz,84782,1183,
misliti,izmisliti,iz,84782,665,
voditi,provoditi,pro,66323,2075,voditi
voditi,dovoditi,do,66323,2811,
voditi,navoditi,na,66323,6683,
voditi,izvoditi,iz,66323,2612,
voditi,prevoditi,pre,66323,574,
voditi,uvoditi,u,66323,1098,
čuti,začuti,za,65437,1133,čuti
dati,dodati,do,63176,10921,dati
dati,predati,pre,63176,3494,
dati,udati,u,63176,1653,
dati,prodati,pro,63176,2351,
dati,izdati,iz,63176,1966,
dati,uzdati,uz,63176,597,
nositi,donositi,do,61577,5385,nositi
nositi,odnositi,od,61577,8518,
nositi,podnositi,pod,61577,1722,
nositi,prenositi,pre,61577,2575,
nositi,iznositi,iz,61577,5007,
nositi,unositi,u,61577,1097,
nositi,nanositi,na,61577,690,
ići,izići,iz,60880,3518,ići
ići,naići,na,60880,1740,
ići,obići,ob,60880,2244,
ići,podići,pod,60880,2009,
činiti,učiniti,u,55491,12906,činiti
činiti,načiniti,na,55491,968,
stajati,ustajati,u,51798,1489,stajati
stajati,prestajati,pre,51798,1066,
stajati,pristajati,pri,51798,522,
stajati,nastajati,na,51798,1856,
nalaziti,pronalaziti,pro,40078,844,nalaziti
držati,zadržati,za,32053,3284,držati
držati,izdržati,iz,32053,1058,
držati,sadržati,sa,32053,6948,
pisati,napisati,na,29483,3575,pisati
pisati,upisati,u,29483,1558,
vratiti,odvratiti,od,27878,1788,vratiti
vratiti,uzvratiti,uz,27878,799,
davati,dodavati,do,26960,2790,davati
davati,prodavati,pro,26960,2985,
davati,predavati,pre,26960,1263,
davati,izdavati,iz,26960,1345,
uzeti,obuzeti,ob,26042,972,uzeti
uzeti,zauzeti,za,26042,1470,
uzeti,preuzeti,pre,26042,4186,
uzeti,oduzeti,od,26042,788,
stati,ustati,u,25883,5030,stati
stati,prestati,pre,25883,3401,
stati,zastati,za,25883,1559,
stati,nastati,na,25883,5285,
stati,pristati,pri,25883,1073,
stati,sastati,sa,25883,2470,
zvati,nazvati,na,25398,1493,zvati
zvati,sazvati,sa,25398,890,
živeti,doživeti,do,24786,1829,živeti
živeti,preživeti,pre,24786,1390,
igrati,odigrati,od,23994,1609,igrati
početi,započeti,za,21097,4059,početi
baciti,prebaciti,pre,20757,1075,baciti
baciti,izbaciti,iz,20757,775,
baciti,odbaciti,od,20757,1026,
baciti,ubaciti,u,20757,734,
pasti,napasti,na,20326,938,pasti
pasti,upasti,u,20326,977,
pasti,pripasti,pri,20326,583,
pitati,upitati,u,20063,12125,pitati
pitati,zapitati,za,20063,1256,
tražiti,zatražiti,za,19923,3113,tražiti
čekati,sačekati,sa,19741,1437,čekati
čekati,dočekati,do,19741,1371,
naći,pronaći,pro,19072,9869,naći
padati,pripadati,pri,18933,4347,padati
padati,dopadati,do,18933,835,
slušati,saslušati,sa,17782,553,slušati
staviti,nastaviti,na,17671,12634,staviti
staviti,sastaviti,sa,17671,868,
staviti,dostaviti,do,17671,2733,
pustiti,napustiti,na,17156,3327,pustiti
pustiti,dopustiti,do,17156,1266,
pustiti,prepustiti,pre,17156,1199,
pustiti,propustiti,pro,17156,1305,
baviti,nabaviti,na,16250,1177,baviti
vući,izvući,iz,14867,2017,vući
vući,privući,pri,14867,1678,
vući,uvući,u,14867,553,
moliti,zamoliti,za,14430,1297,moliti
ticati,uticati,u,14042,6382,ticati
značiti,naznačiti,na,11378,507,značiti
uzimati,zauzimati,za,10367,1521,uzimati
uzimati,preuzimati,pre,10367,1142,
čitati,pročitati,pro,9961,3800,čitati
učiti,naučiti,na,9658,4516,učiti
učiti,obučiti,ob,9658,861,
javiti,objaviti,ob,9502,5437,javiti
javiti,izjaviti,iz,9502,5228,
javiti,prijaviti,pri,9502,4630,
javiti,najaviti,na,9502,2242,
kupiti,sakupiti,sa,9145,588,kupiti
kupiti,prikupiti,pri,9145,1051,
praviti,napraviti,na,9020,8539,praviti
ući,obući,ob,8403,1157,ući
vršiti,završiti,za,8170,7836,vršiti
vršiti,izvršiti,iz,8170,4079,
vršiti,dovršiti,do,8170,551,
sećati,podsećati,pod,8089,2491,sećati
stavljati,nastavljati,na,7068,4133,stavljati
stavljati,dostavljati,do,7068,858,
poznavati,prepoznavati,pre,6464,1235,poznavati
graditi,sagraditi,sa,6260,589,graditi
graditi,izgraditi,iz,6260,2413,
lagati,izlagati,iz,5962,990,lagati
lagati,ulagati,u,5962,1607,
lagati,zalagati,za,5962,1122,
uhvatiti,obuhvatiti,ob,5549,1331,uhvatiti
čuvati,sačuvati,sa,5518,2273,čuvati
teći,zateći,za,5463,1449,teći
teći,proteći,pro,5463,948,
viknuti,uzviknuti,uz,5393,1314,viknuti
viknuti,naviknuti,na,5393,1012,
počinjati,započinjati,za,5376,901,počinjati
platiti,uplatiti,u,5261,502,platiti
deliti,dodeliti,do,5236,909,deliti
setiti,podsetiti,pod,5210,2683,setiti
ljubiti,zaljubiti,za,5086,881,ljubiti
ustati,odustati,od,5030,1148,ustati
puštati,napuštati,na,5006,1024,puštati
puštati,dopuštati,do,5006,802,
plašiti,uplašiti,u,4902,1169,plašiti
terati,naterati,na,4595,1061,terati
gubiti,izgubiti,iz,4573,5982,gubiti
tvrditi,utvrditi,u,4563,3774,tvrditi
vladati,savladati,sa,4252,1407,vladati
hvatati,prihvatati,pri,4029,1622,hvatati
stupiti,nastupiti,na,3915,1090,stupiti
stupiti,pristupiti,pri,3915,2251,
slediti,uslediti,u,3889,1516,slediti
dizati,uzdizati,uz,3869,578,dizati
smejati,nasmejati,na,3640,1289,smejati
boriti,izboriti,iz,3572,650,boriti
suditi,usuditi,u,3288,750,suditi
boraviti,zaboraviti,za,3140,4430,boraviti
visiti,zavisiti,za,3099,3500,visiti
braniti,zabraniti,za,2958,650,braniti
braniti,odbraniti,od,2958,655,
izvesti,proizvesti,pro,2913,937,izvesti
kazivati,ukazivati,u,2844,3841,kazivati
kazivati,prikazivati,pri,2844,3611,
kazivati,dokazivati,do,2844,893,
šetati,prošetati,pro,2687,502,šetati
izvoditi,proizvoditi,pro,2612,2837,izvoditi
mešati,umešati,u,2524,646,mešati
buditi,probuditi,pro,2459,2181,buditi
poručiti,preporučiti,pre,2450,789,poručiti
viti,razviti,raz,2437,3073,viti
viti,saviti,sa,2437,500,
pomenuti,napomenuti,na,2292,1237,pomenuti
širiti,proširiti,pro,2175,1965,širiti
pamtiti,zapamtiti,za,2036,528,pamtiti
štititi,zaštititi,za,1911,1540,štititi
brisati,izbrisati,iz,1891,737,brisati
glasiti,proglasiti,pro,1813,1127,glasiti
glasiti,naglasiti,na,1813,5687,
glasiti,saglasiti,sa,1813,714,
beležiti,zabeležiti,za,1733,1026,beležiti
pominjati,napominjati,na,1574,541,pominjati
puniti,napuniti,na,1560,921,puniti
stupati,nastupati,na,1522,1315,stupati
stupati,zastupati,za,1522,859,
stupati,pristupati,pri,1522,564,
čuditi,začuditi,za,1467,664,čuditi
sticati,podsticati,pod,1427,1744,sticati
metati,nametati,na,1380,823,metati
mati,primati,pri,1375,2261,mati
miriti,umiriti,u,1363,948,miriti
paliti,zapaliti,za,1349,738,paliti
paliti,upaliti,u,1349,692,
slaviti,proslaviti,pro,1231,762,slaviti
sretati,susretati,su,1208,1087,sretati
grliti,zagrliti,za,1115,744,grliti
ceniti,proceniti,pro,1109,1059,ceniti
miti,primiti,pri,1047,4711,miti
miti,umiti,u,1047,575,
gađati,događati,do,1031,1755,gađati
vaditi,izvaditi,iz,967,1247,vaditi
gasiti,ugasiti,u,931,794,gasiti
ložiti,izložiti,iz,883,1015,ložiti
ložiti,odložiti,od,883,725,
ložiti,uložiti,u,883,1676,
hvaliti,zahvaliti,za,829,2489,hvaliti
družiti,pridružiti,pri,809,2532,družiti
uzrokovati,prouzrokovati,pro,789,504,uzrokovati
trpeti,pretrpeti,pre,773,580,trpeti
kidati,prekidati,pre,764,708,kidati
gutati,progutati,pro,757,568,gutati
vijati,odvijati,od,721,2557,vijati
vijati,razvijati,raz,721,4604,
likovati,razlikovati,raz,671,2577,likovati
likovati,oblikovati,ob,671,946,
likovati,odlikovati,od,671,1289,
klanjati,uklanjati,u,668,634,klanjati
seliti,preseliti,pre,666,673,seliti
vesti,provesti,pro,606,3618,vesti
vesti,dovesti,do,606,6039,
vesti,odvesti,od,606,2081,
vesti,izvesti,iz,606,2913,
vesti,navesti,na,606,6169,
vesti,uvesti,u,606,2442,
vesti,prevesti,pre,606,796,
poručivati,preporučivati,pre,534,2645,poručivati
šiti,sušiti,su,502,668,šiti
