prefix,verb_count,total_frequency,avg_frequency,examples
po,309,23162,74.957928802589,"povesti, poneti, pobiti, ponositi, pogledati (+304)"
u,268,12024,44.865671641791046,"uvesti, uneti, ubiti, unositi, ugledati (+263)"
za,253,6002,23.723320158102766,"zavesti, zaneti, zabiti, zanositi, zagledati (+248)"
o,215,12945,60.2093023255814,"ovesti, obiti, ogledati, orasti, opadati (+210)"
pre,206,4979,24.16990291262136,"prevesti, preneti, prebiti, prenositi, pregledati (+201)"
s,180,7748,43.044444444444444,"svesti, sneti, snositi, srasti, spadati (+175)"
na,174,13047,74.98275862068965,"navesti, naneti, nabiti, nanositi, nagledati (+169)"
pro,151,5179,34.29801324503311,"provesti, probiti, pronositi, progledati, propadati (+146)"
iz,138,5438,39.405797101449274,"izvesti, izneti, izbiti, iznositi, izgledati (+133)"
pri,116,5771,49.75,"privesti, prineti, pribiti, prinositi, prirasti (+111)"
do,102,10879,106.65686274509804,"dovesti, doneti, dobiti, donositi, dorasti (+97)"
od,99,4157,41.98989898989899,"odvesti, odneti, odbiti, odnositi, odgledati (+94)"
sa,64,3649,57.015625,"sabiti, sagledati, sastajati, sastaviti, sakupiti (+59)"
raz,63,2178,34.57142857142857,"razvesti, razneti, razbiti, raznositi, razgledati (+58)"
ras,49,496,10.122448979591837,"rasvesti, raspadati, raspisati, rasliti, raspustiti (+44)"
pod,45,2858,63.51111111111111,"podneti, podnositi, podpadati, podvući, poduzeti (+40)"
ot,43,1751,40.72093023255814,"otpadati, otpisati, otpustiti, otpasti, otpuštati (+38)"
pr,37,2210,59.729729729729726,"pruzeti, prići, prsiti, prsati, pržiti (+32)"
ob,32,2443,76.34375,"obrasti, obložiti, obuzeti, obvezati, obići (+27)"
pred,30,4955,165.16666666666666,"predlagati, predložiti, predstaviti, preduzeti, predvezati (+25)"
v,23,2542,110.52173913043478,"vlagati, vreći, vići, vučiti, vlažiti (+18)"
uz,23,275,11.956521739130435,"uzvesti, uzneti, uzgledati, uzrasti, uzdati (+18)"
su,20,229,11.45,"sustaviti, sustići, sustizati, suglasiti, suvisiti (+15)"
nad,17,182,10.705882352941176,"nadneti, nadgledati, nadvijati, nadživeti, nadgraditi (+12)"
bez,2,2,1.0,"beznaći, bezubiti"
obez,2,2,1.0,"obezvrediti, obezboliti"
prema,2,27,13.5,"premažiti, premašivati"
protiv,2,72,36.0,"protiviti, protivrečiti"
